pre_devices:
List of devices attached

starting emulator: /home/developer/Android/Sdk/emulator/emulator -avd aurora_api35_google -port 5560 -accel off -no-window -no-audio -no-boot-anim -gpu swiftshader_indirect -no-snapshot-load -no-snapshot-save
emulator_pid=3244611
t=0s state=none boot=none pm=
t=10s state=none boot=none pm=
t=20s state=none boot=none pm=
t=31s state=none boot=none pm=
t=41s state=none boot=none pm=
t=51s state=none boot=none pm=
t=61s state=none boot=none pm=
t=71s state=none boot=none pm=
t=81s state=none boot=none pm=
t=91s state=none boot=none pm=
t=101s state=none boot=none pm=
t=111s state=none boot=none pm=
t=121s state=none boot=none pm=
t=131s state=none boot=none pm=
t=141s state=none boot=none pm=
t=164s state=device boot=none pm=
t=182s state=device boot=none pm=
t=197s state=device boot=none pm=
t=210s state=device boot=none pm=
t=223s state=device boot=none pm=
t=235s state=device boot=none pm=
t=248s state=device boot=none pm=
t=261s state=device boot=none pm=
t=274s state=device boot=none pm=
t=287s state=device boot=none pm=
t=300s state=device boot=none pm=
t=312s state=device boot=none pm=
t=325s state=device boot=none pm=
t=337s state=device boot=none pm=
t=349s state=device boot=none pm=
t=361s state=device boot=none pm=
t=373s state=device boot=none pm=
t=385s state=device boot=none pm=
t=398s state=device boot=none pm=
t=410s state=device boot=none pm=
t=424s state=device boot=none pm=
t=436s state=device boot=none pm=
t=449s state=device boot=none pm=
t=461s state=device boot=none pm=
t=473s state=device boot=none pm=
t=486s state=device boot=none pm=ready
t=500s state=device boot=none pm=ready
t=520s state=device boot=none pm=ready
t=541s state=device boot=none pm=ready
t=561s state=device boot=none pm=ready
t=579s state=device boot=none pm=ready
t=595s state=device boot=none pm=ready
t=618s state=device boot=none pm=ready
t=636s state=device boot=none pm=ready
t=656s state=device boot=none pm=ready
t=674s state=device boot=none pm=ready
t=694s state=device boot=none pm=ready
t=711s state=device boot=none pm=ready
cleanup: stopping emulator-5560
OK: killing emulator, bye bye
OK
